8.65108	336.589
2.91685	330.397
20.2336	336.467
14.3565	330.39
8.65454	324.246
3.02415	318.557
31.9438	336.482
25.9618	330.275
20.1907	324.148
14.5044	318.425
9.06085	313.416
3.45084	308.675
43.2517	337.648
37.5885	330.515
31.8127	324.09
26.1194	318.351
20.69	313.341
15.1637	308.704
9.17756	303.249
3.39083	297.257
55.3918	337.701
49.3225	330.639
43.4232	324.136
37.7081	318.182
32.4177	313.222
26.9422	308.65
20.8541	303.23
14.8685	297.105
8.98468	290.779
3.06918	284.33
66.8898	337.871
61.2302	330.987
55.3791	324.191
49.3832	318.089
43.8816	312.892
38.6336	308.517
32.574	303.241
26.4992	297.246
20.488	290.579
14.7227	284.159
8.77989	277.835
2.96332	271.697
78.9899	337.6
72.9363	330.692
67.1199	324.429
61.2697	318.37
55.3943	312.757
50.1411	308.344
44.2428	303.221
38.2915	297.383
32.2352	291.02
26.0919	284.352
20.4679	277.945
14.5539	271.624
8.62098	265.668
2.71598	260.163
90.9832	336.83
85.0032	330.793
79.0398	324.18
73.1607	318.313
67.337	312.854
61.5941	307.922
55.8928	303.046
50.0186	297.375
44.1612	291.197
38.1473	284.671
31.9347	278.276
26.062	272.061
20.2504	265.643
14.4292	259.973
8.80272	254.938
3.25742	250.009
102.803	336.001
97.0433	330.761
90.9836	324.486
84.9619	318.337
79.1666	312.753
73.5372	307.847
67.6158	302.859
61.6972	297.268
55.8367	291.133
50.011	284.79
43.9794	278.308
37.9045	271.969
31.9755	265.768
26.1526	259.815
20.5615	254.653
15.0281	249.954
9.13893	244.539
3.29164	238.563
113.659	336.143
108.153	331.097
102.742	325.057
96.9238	318.595
91.0125	312.851
85.2248	307.795
79.4201	302.86
73.4937	297.306
67.5147	291.162
61.5287	284.78
55.597	278.363
49.6728	272.055
43.7295	265.66
37.9131	259.666
32.2238	254.433
26.5865	249.85
20.7189	244.643
14.8105	238.547
8.92385	232.2
3.20698	225.819
125.539	336.807
119.648	330.824
113.894	324.622
108.373	318.752
102.803	313.059
97.1808	307.932
91.1562	302.725
85.2174	297.03
79.54	291.097
73.5087	284.806
67.2609	278.327
61.2877	271.906
55.4738	265.619
49.6261	259.616
43.8776	254.243
38.2497	249.708
32.3284	244.61
26.4017	238.616
20.5335	232.235
14.6821	225.584
8.8706	219.122
2.98268	212.754
137.397	336.708
131.53	330.868
125.845	324.713
119.912	318.422
114.139	312.757
108.829	307.981
102.981	302.931
96.8545	297.149
90.8287	290.662
