417.579	2.64711	419.104	0.768373	418.966	3.96724
414.598	-0.0264746	418.873	6.93515	416.146	1.22491
417.406	8.38212	416.152	4.13825	418.881	9.88826
414.601	5.51312	413.205	1.37755	416.01	6.94857
411.807	2.70393	419.002	12.8576	413.25	4.12225
408.779	-0.196509	415.995	9.87794	410.256	1.24769
417.617	14.2956	413.109	6.87983	419.066	15.7146
414.563	11.2931	410.265	3.98716	416.138	12.8447
411.635	8.274	407.347	1.05377	413.089	9.80365
408.737	5.35989	418.591	17.9456	410.156	6.79542
405.89	2.46476	416.268	15.6839	407.305	3.89888
403.128	-0.332204	413.243	12.7278	404.5	1.00888
417.165	19.1355	410.14	9.70898	418.571	20.5536
414.927	16.9011	407.223	6.7743	416.065	18.0748
411.878	14.0753	404.438	3.89645	413.411	15.5206
408.714	11.121	401.71	1.15271	410.276	12.5851
405.774	8.21353	418.679	23.4761	407.202	9.66853
402.952	5.40495	415.818	20.571	404.367	6.79524
400.252	2.69778	413.485	18.2111	401.596	3.98567
397.585	0.0622468	410.419	15.3723	398.957	1.39634
417.262	24.964	407.293	12.5151	418.682	26.4579
414.541	22.1534	404.342	9.67805	415.859	23.5284
411.983	19.5626	401.522	6.86037	413.269	20.8591
409.037	16.7483	398.831	4.15206	410.542	18.1762
405.886	13.9088	396.151	1.49696	407.392	15.3141
402.916	11.1169	418.663	29.3603	404.405	12.5085
400.111	8.3301	415.837	26.4935	401.499	9.72069
397.401	5.58542	413.188	23.7191	398.745	6.94905
394.766	2.88841	410.544	21.0361	396.126	4.27009
392.012	0.0456317	407.512	18.1426	393.4	1.47023
417.189	30.8333	404.477	15.3064	418.653	32.2645
414.436	27.9679	401.536	12.5319	415.798	29.373
411.834	25.2165	398.717	9.7629	413.109	26.5831
409.107	22.4625	396.088	7.03522	410.521	23.8888
406.095	19.5724	393.45	4.26601	407.583	21.0129
403.05	16.7042	390.668	1.41546	404.577	18.1234
400.142	13.941	418.674	35.1027	401.578	15.3177
397.347	11.1725	415.76	32.2492	398.737	12.5557
394.745	8.43936	413.035	29.3998	396.055	9.79933
392.113	5.64596	410.44	26.6788	393.476	7.0553
