x	sigmoid	ReLU
-3.92	0.019455084568193	0
-3.84	0.0210413470204683	0
-3.76	0.022753943462804	0
-3.68	0.0246024284027394	0
-3.6	0.0265969935768659	0
-3.52	0.02874849592654	0
-3.44	0.0310684841596674	0
-3.36	0.0335692232814825	0
-3.28	0.0362637163746483	0
-3.2	0.0391657227967644	0
-3.12	0.0422897718420338	0
-3.04	0.0456511707844437	0
-2.96	0.0492660060840267	0
-2.88	0.0531511363980637	0
-2.8	0.0573241758988688	0
-2.72	0.0618034662635886	0
-2.64	0.0666080355750907	0
-2.56	0.0717575422637513	0
-2.48	0.0772722021366599	0
-2.4	0.0831726964939224	0
-2.32	0.0894800593335614	0
-2.24	0.0962155417106928	0
-2.16	0.10340045145825	0
-2.08	0.111055966711408	0
-2	0.119202922022118	0
-1.92	0.127861566319081	0
-1.84	0.13705129257546	0
-1.76	0.146790339801382	0
-1.68	0.157095468885453	0
-1.6	0.167981614866076	0
-1.52	0.179461519407327	0
-1.44	0.191545348561468	0
-1.36	0.204240302284092	0
-1.28	0.217550223576888	0
-1.2	0.231475216500982	0
-1.12	0.246011283551052	0
-1.04	0.261149993915751	0
-0.96	0.27687819487561	0
-0.88	0.293177778906432	0
-0.8	0.310025518872388	0
-0.72	0.32739298293224	0
-0.64	0.345246539393681	0
-0.56	0.363547459718434	0
-0.48	0.382252125230751	0
-0.4	0.401312339887548	0
-0.32	0.420675747851251	0
-0.24	0.440286350732807	0
-0.16	0.460085115444434	0
-0.08	0.480010659844418	0
0	0.5	0
0.08	0.519989340155582	0.08
0.16	0.539914884555566	0.16
0.24	0.559713649267193	0.24
0.32	0.57932425214875	0.32
0.4	0.598687660112452	0.4
0.48	0.617747874769249	0.48
0.56	0.636452540281566	0.56
0.64	0.654753460606319	0.64
0.72	0.67260701706776	0.72
0.8	0.689974481127613	0.8
0.88	0.706822221093568	0.88
0.96	0.72312180512439	0.96
1.04	0.738850006084249	1.04
1.12	0.753988716448948	1.12
1.2	0.768524783499018	1.2
1.28	0.782449776423112	1.28
1.36	0.795759697715908	1.36
1.44	0.808454651438533	1.44
1.52	0.820538480592673	1.52
1.6	0.832018385133924	1.6
1.68	0.842904531114547	1.68
1.76	0.853209660198618	1.76
1.84	0.86294870742454	1.84
1.92	0.872138433680919	1.92
2	0.880797077977882	2
2.08	0.888944033288592	2.08
2.16	0.89659954854175	2.16
2.24	0.903784458289307	2.24
2.32	0.910519940666439	2.32
2.4	0.916827303506078	2.4
2.48	0.92272779786334	2.48
2.56	0.928242457736249	2.56
2.64	0.933391964424909	2.64
2.72	0.938196533736411	2.72
2.8	0.942675824101131	2.8
2.88	0.946848863601936	2.88
2.96	0.950733993915973	2.96
3.04	0.954348829215556	3.04
3.12	0.957710228157966	3.12
3.2	0.960834277203236	3.2
3.28	0.963736283625352	3.28
3.36	0.966430776718518	3.36
3.44	0.968931515840333	3.44
3.52	0.97125150407346	3.52
3.6	0.973403006423134	3.6
3.68	0.97539757159726	3.68
3.76	0.977246056537196	3.76
3.84	0.978958652979532	3.84
3.92	0.980544915431807	3.92
4	0.982013790037908	4
