epoch	AccuReLu	CostRelu	AccuSigm	CostSigm
0.5	0.2016	1.6315327035826	0.2	1.61288663892101
1	0.30000001	1.50350485246294	0.39039999	1.59958243116894
1.5	0.57999998	1.30377095430515	0.26719999	1.56199426072591
2	0.69840002	1.21331797553935	0.41119999	1.48069668799347
2.5	0.66240001	1.09093821808159	0.55760002	1.38139711659972
3	0.72719997	0.959764908419311	0.69199997	1.2537247423389
3.5	0.6728	0.937863110501221	0.53920001	1.14147444641417
4	0.736	0.924990871220237	0.64719999	1.04170536585607
4.5	0.71200001	0.799643699429402	0.68959999	0.949168632180973
5	0.64240003	0.726564546277783	0.7816	0.915818159690982
5.5	0.54960001	0.754273061654749	0.75120002	0.838041980675581
6	0.68400002	0.715587707698152	0.73519999	0.794751372384396
6.5	0.6232	0.765190238595367	0.72320002	0.773503841084045
7	0.72079998	0.780850970545183	0.7784	0.72921006217212
7.5	0.82480001	0.616460277265115	0.70880002	0.692534084235622
8	0.8624	0.622500195743507	0.83600003	0.681862612569656
8.5	0.7288	0.765258329133302	0.83759999	0.653340541458816
9	0.72799999	0.678739276647781	0.84960002	0.62628378341416
9.5	0.82800001	0.593179062509908	0.78799999	0.595042066215908
10	0.59039998	0.598385409485018	0.87279999	0.561437798229216
10.5	0.56480002	0.575611165545714	0.84719998	0.511244272582041
11	0.75199997	0.540767761581089	0.90079999	0.50901906357921
11.5	0.796	0.490781726317255	0.89679998	0.510306066512657
12	0.76319999	0.479636982524882	0.74479997	0.523899495112513
12.5	0.80320001	0.498445350981103	0.90960002	0.577477878744468
13	0.80000001	0.584440451938789	0.91759998	0.493509670240416
13.5	0.736	0.488876674653437	0.93279999	0.462202896631368
14	0.84719998	0.497236299485906	0.91839999	0.415117876331543
14.5	0.91680002	0.414869013610668	0.90560001	0.409219660809938
15	0.7992	0.441425571419284	0.93599999	0.419503171622868
15.5	0.77280003	0.498482777621784	0.8976	0.345935678565031
16	0.86879998	0.473805943627619	0.90719998	0.354924485165424
16.5	0.92559999	0.452118497963024	0.9576	0.351374208294183
17	0.82160002	0.542656733420782	0.94319999	0.346960697282207
17.5	0.92640001	0.489927705759544	0.95920002	0.291379869295096
18	0.91839999	0.365863144371875	0.88639998	0.28581029915109
18.5	0.94080001	0.385363393601213	0.8664	0.272339130567131
19	0.912	0.377713683921701	0.95599997	0.281009828019277
19.5	0.95279998	0.322256783540108	0.93360001	0.280852186084518
20	0.9368	0.342914701386048	0.96880001	0.253535110684619
20.5	0.9224	0.387617111333084	0.95920002	0.254175404913239
21	0.91039997	0.332677679696133	0.93199998	0.24068119250623
21.5	0.88480002	0.352051793605333	0.93279999	0.251596428782634
22	0.73439997	0.39393343931667	0.96560001	0.218061434128735
22.5	0.93199998	0.351853764013427	0.95679998	0.213993864047126
23	0.85280001	0.353305455857311	0.97280002	0.182139125682699
23.5	0.88319999	0.394115219063836	0.95520002	0.199178383812477
24	0.92720002	0.39888207133249	0.93040001	0.196743449142552
24.5	0.53839999	0.478542365879476	0.95999998	0.169205960028446
25	0.81760001	0.494117953371897	0.96799999	0.163651701304018
